飞行实验日记
任务：开启遥控器，测试our_mission() ; our_landing();
设定值：DY_Parame.set.auto_take_off_height = 100; our_delay_times[0] = 18000 
现象：one_one_key_takeoff();任务成功，原因将dy_height = 30;取消注释，飞机迅速上升至1.2m，产生超调，缓慢稳定在1m左右。 
后续进入our_mission(); 响应正常，飞机上下移动，3分钟(180s)后降落。飞机在较高高度时不稳定，推测原因是光流模块在高度较高时判断不准确。

flag.fly_ready || flag.taking_off || flag.auto_take_off_land || one_key_taof_start || tof_height_mm || auto_taking_off_sp
1 1 2 0 1360 0
1 1 2 0 1397 0
1 1 2 0 1406 0
1 1 2 0 1406 0
1 1 2 0 1382 0
1 1 2 0 1423 0
1 1 2 0 1421 0
1 1 2 0 1447 0
1 1 2 0 1420 0
1 1 2 0 1390 0
1 1 2 0 1327 0
1 1 2 0 1340 0
1 1 2 0 1305 0
1 1 2 0 1324 0
1 1 2 0 1373 0
1 1 2 0 1369 0
1 1 2 0 1396 0
1 1 2 0 1412 0
1 1 2 0 1392 0
1 1 2 0 1426 0
1 1 2 0 1413 0
1 1 2 0 1375 0
1 1 2 0 1338 0
1 1 2 0 1301 0
1 1 2 0 1265 0
1 1 2 0 1223 0
1 1 2 0 1202 0
1 1 2 0 1210 0
1 1 2 0 1138 0
1 1 2 0 1135 0
1 1 2 0 1101 0
1 1 2 0 1109 0
1 1 2 0 1129 0
1 1 2 0 1160 0
1 1 2 0 1178 0
1 1 2 0 1229 0
1 1 2 0 1250 0
1 1 2 0 1261 0
1 1 2 0 1274 0
1 1 2 0 1294 0
1 1 2 0 1313 0
1 1 2 0 1311 0
1 1 2 0 1350 0
1 1 2 0 1342 0
1 1 2 0 1364 0
1 1 2 0 1406 0
1 1 2 0 1380 0
1 1 2 0 1420 0
1 1 2 0 1450 0
1 1 2 0 1515 0
1 1 2 0 1526 0
1 1 2 0 1523 0
1 1 2 0 1466 0
1 1 2 0 1475 0
1 1 2 0 1427 0
1 1 2 0 1400 0
1 1 2 0 1392 0
1 1 2 0 1388 0
1 1 2 0 1366 0
1 1 2 0 1336 0
1 1 2 0 1316 0
1 1 2 0 1303 0
1 1 2 0 1316 0
1 1 2 0 1266 0
1 1 2 0 1212 0
1 1 2 0 1253 0
1 1 2 0 1230 0
1 1 2 0 1201 0
1 1 2 0 1202 0
1 1 2 0 1196 0
1 1 2 0 1194 0
1 1 2 0 1216 0
1 1 2 0 1244 0
1 1 2 0 1284 0
1 1 2 0 1360 0
1 1 2 0 1379 0
1 1 2 0 1418 0
1 1 2 0 1434 0
1 1 2 0 1497 0
1 1 2 0 1464 0
1 1 2 0 1473 0
1 1 2 0 1487 0
1 1 2 0 1434 0
1 1 2 0 1480 0
1 1 2 0 1436 0
1 1 2 0 1397 0
1 1 2 0 1356 0
1 1 2 0 1323 0
1 1 2 0 1285 0
1 1 2 0 1251 0
1 1 2 0 1241 0
1 1 2 0 1228 0
1 1 2 0 1227 0
1 1 2 0 1262 0
1 1 2 0 1262 0
1 1 2 0 1313 0
1 1 2 0 1276 0
1 1 2 0 1293 0
1 1 2 0 1326 0
1 1 2 0 1326 0
1 1 2 0 1342 0
1 1 2 0 1352 0
1 1 2 0 1370 0
1 1 2 0 1408 0
1 1 2 0 1378 0
1 1 2 0 1413 0
1 1 2 0 1453 0
1 1 2 0 1440 0
1 1 2 0 1431 0
1 1 2 0 1405 0
1 1 2 0 1364 0
1 1 2 0 1361 0
1 1 2 0 1401 0
1 1 2 0 1379 0
1 1 2 0 1392 0
1 1 2 0 1419 0
1 1 2 0 1440 0
1 1 2 0 1458 0
1 1 2 0 1493 0
1 1 2 0 1433 0
1 1 2 0 1412 0
1 1 2 0 1390 0
1 1 2 0 1366 0
1 1 2 0 1326 0
1 1 2 0 1308 0
1 1 2 0 1289 0
1 1 2 0 1266 0
1 1 2 0 1233 0
1 1 2 0 1190 0
1 1 2 0 1220 0
1 1 2 0 1215 0
1 1 2 0 1226 0
1 1 2 0 1231 0
1 1 2 0 1296 0
1 1 2 0 1295 0
1 1 2 0 1323 0
1 1 2 0 1372 0
1 1 2 0 1418 0
1 1 2 0 1421 0
1 1 2 0 1424 0
1 1 2 0 1428 0
1 1 2 0 1471 0
1 1 2 0 1482 0
1 1 2 0 1501 0
1 1 2 0 1491 0
1 1 2 0 1408 0
1 1 2 0 1436 0
1 1 2 0 1391 0
1 1 2 0 1327 0
1 1 2 0 1313 0
1 1 3 0 1277 -572
1 1 3 0 1167 -572
1 1 3 0 1019 -572
1 1 3 0 837 -572
1 1 3 0 692 -572
1 1 3 0 514 -572
1 1 3 0 350 -572
1 1 3 0 203 -572
1 1 3 0 161 -572
